,time,O1,O2,Fp2,Fp1,contact_O1,contact_O2,contact_Fp2,contact_Fp1,Sample,Streaming,Battery
0,0.0,0.11378428125,0.5625,-0.020845460937499997,-0.032861421875,1.0,0.0,1.0,1.0,12401.0,1.0,84.0
1,0.004,0.11377871875,0.5625,-0.020845191406249998,-0.032857132812499995,1.0,0.0,1.0,1.0,12402.0,1.0,84.0
2,0.008,0.1137718125,0.5625,-0.02084465625,-0.032856328125,1.0,0.0,1.0,1.0,12403.0,1.0,84.0
3,0.012,0.1137892421875,0.5625,-0.0208422421875,-0.0328699375,1.0,0.0,1.0,1.0,12404.0,1.0,84.0
4,0.016,0.11379997656249999,0.5625,-0.020842710937499998,-0.0328709453125,1.0,0.0,1.0,1.0,12405.0,1.0,84.0
5,0.02,0.11379869531249999,0.5625,-0.02083412890625,-0.032877046874999996,1.0,0.0,1.0,1.0,12406.0,1.0,84.0
6,0.024,0.11378240625,0.5625,-0.020834330078124998,-0.03287221875,1.0,0.0,1.0,1.0,12407.0,1.0,84.0
7,0.028,0.1137768359375,0.5625,-0.02084311328125,-0.032866050781249996,1.0,0.0,1.0,1.0,12408.0,1.0,84.0
8,0.032,0.113780328125,0.5625,-0.020846533203125,-0.032864707031249996,1.0,0.0,1.0,1.0,12409.0,1.0,84.0
9,0.036,0.1137883046875,0.5625,-0.02083828515625,-0.03287376171875,1.0,0.0,1.0,1.0,12410.0,1.0,84.0
10,0.04,0.1137832734375,0.5625,-0.020836675781249998,-0.0328716171875,1.0,0.0,1.0,1.0,12411.0,1.0,84.0
11,0.044,0.11377744531249999,0.5625,-0.020838218749999998,-0.03286973828125,1.0,0.0,1.0,1.0,12412.0,1.0,84.0
12,0.048,0.11376490624999999,0.5625,-0.020835,-0.032867859374999996,1.0,0.0,1.0,1.0,12413.0,1.0,84.0
13,0.052,0.113768125,0.5625,-0.020839759765625,-0.03286759375,1.0,0.0,1.0,1.0,12414.0,1.0,84.0
14,0.056,0.11378796875,0.5625,-0.020838419921875,-0.032875035156249996,1.0,0.0,1.0,1.0,12415.0,1.0,84.0
15,0.06,0.11377971875,0.5625,-0.0208415703125,-0.03287262109375,1.0,0.0,1.0,1.0,12416.0,1.0,84.0
16,0.064,0.113766109375,0.5625,-0.020830841796875,-0.0328806015625,1.0,0.0,1.0,1.0,12417.0,1.0,84.0
17,0.068,0.11376403125,0.5625,-0.020848478515624998,-0.03286826171875,1.0,0.0,1.0,1.0,12418.0,1.0,84.0
18,0.072,0.1137742265625,0.5625,-0.0208502890625,-0.032877316406249996,1.0,0.0,1.0,1.0,12419.0,1.0,84.0
19,0.076,0.11379702343749999,0.5625,-0.02084841015625,-0.03288180859375,1.0,0.0,1.0,1.0,12420.0,1.0,84.0
20,0.08,0.113804265625,0.5625,-0.020858267578125,-0.0328670546875,1.0,0.0,1.0,1.0,12421.0,1.0,84.0
21,0.084,0.11377939062499999,0.5625,-0.020846197265624998,-0.0328720859375,1.0,0.0,1.0,1.0,12422.0,1.0,84.0
22,0.088,0.11375853124999999,0.5625,-0.02085230078125,-0.0328688671875,1.0,0.0,1.0,1.0,12423.0,1.0,84.0
23,0.092,0.1137708671875,0.5625,-0.020854916015625,-0.03287362890625,1.0,0.0,1.0,1.0,12424.0,1.0,84.0
24,0.096,0.1137818671875,0.5625,-0.020847673828125,-0.032881070312499996,1.0,0.0,1.0,1.0,12425.0,1.0,84.0
25,0.1,0.1137714765625,0.5625,-0.020855384765625,-0.03286792578125,1.0,0.0,1.0,1.0,12426.0,1.0,84.0
26,0.104,0.11374284374999999,0.5625,-0.020850824218749998,-0.03286946875,1.0,0.0,1.0,1.0,12427.0,1.0,84.0
27,0.108,0.11373646875,0.5625,-0.02084358203125,-0.032876375,1.0,0.0,1.0,1.0,12428.0,1.0,84.0
28,0.112,0.11373915625,0.5625,-0.020845662109375,-0.0328792578125,1.0,0.0,1.0,1.0,12429.0,1.0,84.0
29,0.116,0.11374612499999999,0.5625,-0.020850958984374997,-0.0328792578125,1.0,0.0,1.0,1.0,12430.0,1.0,84.0
30,0.12,0.11375471093749999,0.5625,-0.02085518359375,-0.03288294921875,1.0,0.0,1.0,1.0,12431.0,1.0,84.0
31,0.124,0.11376088281249999,0.5625,-0.020860748046875,-0.03287087890625,1.0,0.0,1.0,1.0,12432.0,1.0,84.0
32,0.128,0.1137510234375,0.5625,-0.020854580078125,-0.032864171875,1.0,0.0,1.0,1.0,12433.0,1.0,84.0
33,0.132,0.11373607031249999,0.5625,-0.0208406328125,-0.0328863671875,1.0,0.0,1.0,1.0,12434.0,1.0,84.0
34,0.136,0.11375645312499999,0.5625,-0.020862828125,-0.03287778515625,1.0,0.0,1.0,1.0,12435.0,1.0,84.0
35,0.14,0.11376637499999999,0.5625,-0.020855318359375,-0.03288415625,1.0,0.0,1.0,1.0,12436.0,1.0,84.0
36,0.144,0.11375249999999999,0.5625,-0.020847001953125,-0.0328873046875,1.0,0.0,1.0,1.0,12437.0,1.0,84.0
37,0.148,0.11375437499999999,0.5625,-0.020854445312499997,-0.0328800625,1.0,0.0,1.0,1.0,12438.0,1.0,84.0
38,0.152,0.1137651015625,0.5625,-0.0208597421875,-0.03287952734375,1.0,0.0,1.0,1.0,12439.0,1.0,84.0
